;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;CONFIGURAÇÕES;;;;;;;;;
;Salário;;R$ 4.200,00;;;;;;;
;Rendimento Carteira;;0,89%;;;;;;;
;Sugestão de Investimento;;R$ 1.260,00;;;;;;;
;;;;;;;;;;
;INVESTIMENTO MENSAL;;;;;;;;;
;Quanto investir por mês;;R$ 1.260,00;;;;;;;
;Por quantos anos?;;10;;;;;;;
;Taxa de Rendimento mensal?;;1,08%;;;;;;;
;Patrimôno acumulado?;;R$ 306.538,11;;;;;;;
;Dividendos mensais?;;R$ 2.728,19;;;;;;;
;;;;;;;;;;
;Cenários;;Dividendo;;;;;;;
2;Quanto em 2 anos?;R$ 34.306,81;R$ 305,33;;;;;;;
5;Quanto em 5 anos?;R$ 105.558,91;R$ 939,47;;;;;;;
10;Quanto em 10 anos?;R$ 306.538,11;R$ 2.728,19;;;;;;;
20;Quanto em 20 anos?;R$ 1.417.749,98;R$ 12.617,97;;;;;;;
30;Quanto em 30 anos?;R$ 5.445.933,77;R$ 48.468,81;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Perfil;Moderado;;;;;;;;
;VALOR A SER INVESTIDO POR MÊS;R$ 1.260,00;;;;;;;;
;;;;;;;;;;
;TIPO DE FII;Percentual Sugerido;Valores;;;;;;;
;PAPEL;32%;R$ 403,20;;;;;;;
;TIJOLO;35%;R$ 441,00;;;;;;;
;HÍBRIDOS;8%;R$ 100,80;;;;;;;
;FOFs;5%;R$ 63,00;;;;;;;
;DESELVOLVIMENTO;10%;R$ 126,00;;;;;;;
;HOTELARIAS;10%;R$ 126,00;;;;;;;
;;;R$ 1.260,00;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
